epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20.3654,1.39885,3.97814,1.61648,0.00436,0.94743,0.02293,0.01724,0.56314,3.17438,0.99208,0.00084537,0.00028179,0.00084537,0.00028179,0.00084537,0.00028179,0.00084537,0.00028179
2,30.956,1.15155,3.85245,1.42669,0.00418,0.98702,0.08465,0.06889,0.50512,3.19373,0.93258,0.001701,0.000567001,0.001701,0.000567001,0.001701,0.000567001,0.001701,0.000567001
3,40.4493,1.03052,3.76876,1.30847,0.00401,1,0.12821,0.1004,0.73404,3.22534,0.98792,0.00253936,0.000846452,0.00253936,0.000846452,0.00253936,0.000846452,0.00253936,0.000846452
4,49.7123,1.04341,3.66672,1.30414,0.0038,1,0.20891,0.14571,0.99412,3.1653,1.11824,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003
5,59.0878,1.03161,3.59301,1.28612,0.00358,1,0.31894,0.20858,1.14912,2.96651,1.19277,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004
6,68.5436,1.05892,3.42129,1.27339,0.57975,0.20639,0.38205,0.25855,1.12454,2.61173,1.17058,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
7,79.7354,1.02796,3.20051,1.25907,0.30441,0.46016,0.44967,0.32213,0.99749,2.10074,1.11215,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
8,90.0815,1.00735,2.97202,1.28628,0.29608,0.60176,0.51052,0.36036,0.99444,1.81792,1.12853,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006
9,101.339,1.04712,2.75689,1.3216,0.38417,0.69445,0.59161,0.42014,0.98633,1.71946,1.14564,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
10,112.941,1.03073,2.50805,1.28851,0.50955,0.7624,0.6946,0.50684,0.95107,1.69163,1.13509,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008
11,124.274,1.04948,2.26376,1.31804,0.62379,0.7751,0.7863,0.57793,0.92987,1.57,1.13277,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
12,139.351,1.02243,2.1876,1.34234,0.75532,0.80433,0.8763,0.60758,1.06601,1.33089,1.21357,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001
13,157.91,1.02258,2.10062,1.30535,0.78761,0.87731,0.92306,0.67683,0.97213,1.12909,1.17317,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
14,175.888,0.956,1.97466,1.25419,0.87678,0.8613,0.93477,0.69445,0.93509,1.12247,1.13301,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012
15,193.888,0.98952,2.01624,1.32418,0.88547,0.88063,0.95085,0.67078,1.04741,1.12237,1.17323,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013
16,211.899,1.00632,1.89003,1.28182,0.90311,0.9025,0.95463,0.66862,1.11823,1.06887,1.19483,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013
17,230.278,0.98809,1.80036,1.25227,0.9077,0.90687,0.95633,0.69634,1.02883,1.03999,1.14897,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
18,248.676,1.01589,1.76499,1.29539,0.92539,0.90074,0.96072,0.68706,1.07618,1.05105,1.17644,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015
19,267.077,1.01898,1.73536,1.27786,0.93229,0.91515,0.95644,0.65915,1.13143,1.07055,1.2112,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
20,285.471,1.00845,1.79726,1.30188,0.91949,0.93017,0.96489,0.69996,1.04676,1.00371,1.16214,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017
21,303.661,0.98707,1.73674,1.25652,0.90628,0.93933,0.9727,0.73047,0.96357,0.97542,1.11441,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
22,322.26,0.99223,1.74068,1.25342,0.92454,0.90409,0.97349,0.73385,0.93604,0.93453,1.10241,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019
23,341.036,0.96593,1.67267,1.24948,0.92968,0.9306,0.98162,0.73745,0.95812,0.91358,1.12068,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
24,359.668,0.94275,1.60479,1.27116,0.94092,0.92849,0.9807,0.70249,1.05638,0.92664,1.19085,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021
25,377.501,0.93862,1.54954,1.24235,0.94469,0.91589,0.98001,0.70574,1.0299,0.92955,1.16905,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
26,395.69,0.93782,1.52718,1.24313,0.92186,0.93278,0.97882,0.73241,0.95048,0.92408,1.13039,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022
27,414.224,0.94687,1.58612,1.25597,0.91299,0.95968,0.98309,0.72372,1.00295,0.88982,1.16289,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023
